"Reference","Stage","Reviewer","Decision","Reason","At"
"R-102","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:15:59.481Z"
"R-102","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:53.403Z"
"R-103","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:01.867Z"
"R-103","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:55.762Z"
"R-104","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:03.768Z"
"R-104","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:39:59.017Z"
"R-105","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:05.871Z"
"R-105","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:01.909Z"
"R-106","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:08.309Z"
"R-106","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:04.720Z"
"R-107","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:11.097Z"
"R-107","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:06.779Z"
"R-108","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:17.058Z"
"R-108","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:08.680Z"
"R-109","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:19.853Z"
"R-109","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:10.996Z"
"R-110","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:16:22.509Z"
"R-110","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:40:12.677Z"
"R-111","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:16:32.047Z"
"R-111","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:40:19.221Z"
"R-112","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:16:37.765Z"
"R-112","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:40:23.729Z"
"R-113","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:16:55.421Z"
"R-113","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:40:27.540Z"
"R-114","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:17:02.724Z"
"R-114","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:40:33.277Z"
"R-114","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:21:08.356Z"
"R-114","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:43.251Z"
"R-115","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:17:05.440Z"
"R-115","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:40:36.239Z"
"R-115","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T20:21:58.413Z"
"R-115","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:45.093Z"
"R-116","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:13.193Z"
"R-116","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:40:39.011Z"
"R-116","full-text","Remberto Sandoval Arechiga","exclude","See reason in screening module","2026-09-07T19:31:32.677Z"
"R-116","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:32:17.334Z"
"R-117","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:24.266Z"
"R-117","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:33:48.386Z"
"R-117","full-text","Remberto Sandoval Arechiga","exclude","See reason in screening module","2026-09-07T19:26:51.480Z"
"R-117","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T20:29:40.007Z"
"R-118","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:35.408Z"
"R-118","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:41:00.807Z"
"R-118","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:36:03.225Z"
"R-118","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:48.409Z"
"R-119","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:41.428Z"
"R-119","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:40:50.359Z"
"R-119","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:36:26.014Z"
"R-119","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:49.142Z"
"R-120","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:17:45.185Z"
"R-120","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:41:07.209Z"
"R-121","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:51.370Z"
"R-121","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:41:12.478Z"
"R-121","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:36:53.373Z"
"R-121","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:53.736Z"
"R-122","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:37:24.982Z"
"R-122","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:41:15.898Z"
"R-122","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:37:22.562Z"
"R-122","full-text","Remberto Sandoval Arechiga","exclude","Wrong study type","2026-09-07T20:48:02.627Z"
"R-123","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:17:58.768Z"
"R-123","title-abstract","Remberto Sandoval Arechiga","maybe","","2026-09-07T20:41:27.457Z"
"R-123","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:37:45.965Z"
"R-123","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:48:13.099Z"
"R-124","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:18:05.171Z"
"R-124","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:41:34.930Z"
"R-125","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:18:13.316Z"
"R-125","title-abstract","Remberto Sandoval Arechiga","maybe","","2026-09-07T20:41:41.798Z"
"R-125","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T20:23:14.585Z"
"R-125","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:48:14.703Z"
"R-126","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:18:54.918Z"
"R-126","title-abstract","Remberto Sandoval Arechiga","maybe","","2026-09-07T20:41:53.286Z"
"R-127","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:19:01.573Z"
"R-127","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:42:04.679Z"
"R-127","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:38:23.658Z"
"R-127","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:48:16.307Z"
"R-128","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:19:26.616Z"
"R-128","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:07.781Z"
"R-129","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:19:29.486Z"
"R-129","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:10.787Z"
"R-130","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:19:32.147Z"
"R-130","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:13.023Z"
"R-131","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:19:34.636Z"
"R-131","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:16.734Z"
"R-132","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:19:37.337Z"
"R-132","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:44:47.892Z"
"R-133","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:19:43.171Z"
"R-133","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:44:32.414Z"
"R-133","full-text","Bernardo Ibarra Infante","exclude","Full text unavailable","2026-09-07T19:42:10.796Z"
"R-133","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:48:17.932Z"
"R-134","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:19:52.335Z"
"R-134","title-abstract","Remberto Sandoval Arechiga","exclude","Full text unavailable","2026-09-07T20:44:19.153Z"
"R-134","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T20:24:30.101Z"
"R-134","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:48:19.757Z"
"R-135","title-abstract","Bernardo Ibarra Infante","exclude","Full text unavailable","2026-09-07T19:19:59.542Z"
"R-135","title-abstract","Remberto Sandoval Arechiga","exclude","Full text unavailable","2026-09-07T20:44:09.386Z"
"R-136","title-abstract","Bernardo Ibarra Infante","exclude","Full text unavailable","2026-09-07T19:20:02.987Z"
"R-136","title-abstract","Remberto Sandoval Arechiga","exclude","Full text unavailable","2026-09-07T20:44:05.866Z"
"R-137","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:07.815Z"
"R-137","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:57.920Z"
"R-138","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:10.936Z"
"R-138","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:54.140Z"
"R-139","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:20:18.515Z"
"R-139","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:43:50.788Z"
"R-140","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:22.021Z"
"R-140","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:46.071Z"
"R-141","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:24.137Z"
"R-141","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:33.904Z"
"R-142","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:28.798Z"
"R-142","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:43:30.749Z"
"R-143","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:33.151Z"
"R-143","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:26.803Z"
"R-144","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:36.290Z"
"R-144","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:22.393Z"
"R-145","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:40.811Z"
"R-145","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:43:18.600Z"
"R-146","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:50.179Z"
"R-146","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:43:10.530Z"
"R-147","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:20:54.526Z"
"R-147","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:43:05.510Z"
"R-148","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:21:03.244Z"
"R-148","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:43:00.220Z"
"R-149","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:21:05.702Z"
"R-149","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:55.930Z"
"R-150","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:21:08.792Z"
"R-150","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:42:53.877Z"
"R-151","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:21:14.365Z"
"R-151","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:42:49.809Z"
"R-152","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:20.336Z"
"R-152","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:17.123Z"
"R-152","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:08.833Z"
"R-152","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:05:02.788Z"
"R-153","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:20.964Z"
"R-153","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:17.653Z"
"R-153","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:06.803Z"
"R-153","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:05:02.021Z"
"R-154","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:21.892Z"
"R-154","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:17.903Z"
"R-154","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:06.071Z"
"R-154","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:05:00.489Z"
"R-155","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:22.325Z"
"R-155","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:18.084Z"
"R-155","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:04.063Z"
"R-155","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:59.260Z"
"R-156","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:22.535Z"
"R-156","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:18.252Z"
"R-156","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:03.344Z"
"R-156","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:57.967Z"
"R-157","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:22.838Z"
"R-157","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:18.493Z"
"R-157","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:02.563Z"
"R-157","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:56.350Z"
"R-158","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.059Z"
"R-158","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:18.675Z"
"R-158","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:04:00.461Z"
"R-158","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:55.527Z"
"R-159","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.256Z"
"R-159","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:18.862Z"
"R-159","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:59.664Z"
"R-159","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:54.548Z"
"R-160","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.449Z"
"R-160","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.032Z"
"R-160","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:58.276Z"
"R-160","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:51.777Z"
"R-161","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.646Z"
"R-161","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.224Z"
"R-161","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:57.510Z"
"R-161","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:50.587Z"
"R-162","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.808Z"
"R-162","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.396Z"
"R-162","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:56.049Z"
"R-162","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:49.418Z"
"R-163","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:23.958Z"
"R-163","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.583Z"
"R-163","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:55.015Z"
"R-163","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:48.277Z"
"R-164","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:24.426Z"
"R-164","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.777Z"
"R-164","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:54.203Z"
"R-164","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:47.219Z"
"R-165","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:24.607Z"
"R-165","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:19.963Z"
"R-165","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:51.671Z"
"R-165","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:45.939Z"
"R-166","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:24.948Z"
"R-166","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:20.153Z"
"R-166","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:52.433Z"
"R-166","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:44.047Z"
"R-167","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:25.145Z"
"R-167","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:20.325Z"
"R-167","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:49.399Z"
"R-167","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:42.486Z"
"R-168","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:25.327Z"
"R-168","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:20.514Z"
"R-168","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:48.223Z"
"R-168","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:41.784Z"
"R-169","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:25.490Z"
"R-169","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:20.692Z"
"R-169","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:46.954Z"
"R-169","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:39.056Z"
"R-170","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:25.655Z"
"R-170","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-08T22:32:16.486Z"
"R-170","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:46.234Z"
"R-170","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:38.323Z"
"R-171","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:25.847Z"
"R-171","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:21.052Z"
"R-171","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:45.046Z"
"R-171","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:36.923Z"
"R-172","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:26.318Z"
"R-172","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:21.235Z"
"R-172","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:42.862Z"
"R-172","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:36.383Z"
"R-173","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:27.878Z"
"R-173","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:21.430Z"
"R-173","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:41.405Z"
"R-173","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:31.912Z"
"R-174","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:31.340Z"
"R-174","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:23.363Z"
"R-174","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:40.655Z"
"R-174","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:31.252Z"
"R-175","title-abstract","Bernardo Ibarra Infante","include","","2026-09-08T00:03:30.216Z"
"R-175","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-08T22:32:22.456Z"
"R-175","full-text","Bernardo Ibarra Infante","include","","2026-09-08T00:03:39.944Z"
"R-175","full-text","Remberto Sandoval Arechiga","include","","2026-09-08T00:04:30.451Z"
