"Reference","Stage","Reviewer","Decision","Reason","At"
"R-23","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:34:43.211Z"
"R-23","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T19:54:56.960Z"
"R-23","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:03:15.821Z"
"R-24","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:08:24.218Z"
"R-24","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:35:00.671Z"
"R-24","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:33:58.386Z"
"R-24","full-text","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:46:36.642Z"
"R-25","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:08:25.566Z"
"R-25","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:35:34.556Z"
"R-25","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T19:55:15.552Z"
"R-25","full-text","Bernardo Ibarra Infante","include","","2026-09-07T19:55:25.826Z"
"R-26","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:08:27.933Z"
"R-26","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:35:39.612Z"
"R-26","full-text","Bernardo Ibarra Infante","exclude","Full text unavailable","2026-09-07T20:02:19.301Z"
"R-26","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:40.651Z"
"R-27","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:08:31.382Z"
"R-27","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:35:43.362Z"
"R-27","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:04:59.191Z"
"R-27","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:42.885Z"
"R-28","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:08:37.861Z"
"R-28","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:35:49.448Z"
"R-29","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:10:52.956Z"
"R-29","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:35:55.251Z"
"R-30","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:10:55.074Z"
"R-30","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:35:57.615Z"
"R-30","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:05:48.917Z"
"R-30","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:47.520Z"
"R-31","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:10:57.486Z"
"R-31","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:00.236Z"
"R-31","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:06:51.948Z"
"R-31","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:46.636Z"
"R-32","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:11:05.842Z"
"R-32","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:36:08.844Z"
"R-33","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:11:07.573Z"
"R-33","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:16.513Z"
